诈骗信息,文章发布时间
广东金融学院一学生被嫌疑人以“冒充客服”的方式诈骗人民币2.9万元。,2022-11-14 17:03:42
华南师范大学一学生被嫌疑人以“其他诈骗”的方式诈骗人民币2.8万元。,2022-11-14 17:03:42
华南师范大学一学生被嫌疑人以“冒充公检法”的方式诈骗人民币2.7万元。,2022-11-14 17:03:42
广州现代信息工程职业技术学院一学生被嫌疑人以“代办贷款”的方式诈骗人民币6000元。,2022-11-14 17:03:42
广州体育职业技术学院一学生被嫌疑人以“冒充客服”的方式诈骗人民币15.2万元。,2022-10-08 17:02:26
广州现代信息技工学校一学生被嫌疑人以“刷单兼职”的方式诈骗人民币1.5万元。,2022-10-08 17:02:26
暨南大学一学生被嫌疑人以“冒充关系人”的方式诈骗人民币1.5万元。,2022-10-08 17:02:26
暨南大学一学生被嫌疑人以“刷单兼职”的方式诈骗人民币1.4万元。,2022-10-08 17:02:26
华南理工大学一学生被嫌疑人以“冒充客服”的方式诈骗人民币1.4万元。,2022-10-08 17:02:26
华南农业大学一学生被嫌疑人以“冒充客服”的方式诈骗人民币9998元。,2022-10-08 17:02:26
广东农工商职业技术学院一学生被嫌疑人以“冒充公检法”的方式诈骗人民币40万元。,2022-09-07 17:11:34
华南师范大学一学生被嫌疑人以“冒充客服”的方式诈骗人民币3.9万元。,2022-09-07 17:11:34
暨南大学一学生被嫌疑人以“购物交易”的方式诈骗人民币1.6万元。,2022-09-07 17:11:34
华南师范大学一学生被嫌疑人以“刷单兼职”的方式诈骗人民币1.3万元。,2022-09-07 17:11:34
华南农业大学一学生被嫌疑人以“冒充客服”的方式诈骗人民币1.3万元。,2022-09-07 17:11:34
广东省食品药品职业技术学校一学生被嫌疑人以“购物交易”的方式诈骗人民币9823元。,2022-09-07 17:11:34
广州体育学院一学生被嫌疑人以“冒充关系人”的方式诈骗人民币3000元。,2022-09-07 17:11:34
广东技术师范大学一学生被嫌疑人以“冒充客服”为由诈骗人民币21万元。,2022-08-22 18:21:10
广东工业大学一学生被嫌疑人以“冒充客服”为由诈骗人民币1.9万元。,2022-08-22 18:21:10
广东金融学院一学生被嫌疑人以“冒充客服”为由诈骗人民币5000元。,2022-08-22 18:21:10
广东科学技术学院一学生被嫌疑人以“冒充客服”为由诈骗人民币1990元。,2022-08-22 18:21:10
暨南大学一学生被嫌疑人以“代办贷款”为由诈骗人民币1199元。,2022-08-22 18:21:10
华南理工大学一学生被嫌疑人以“交友婚介”为由诈骗人民币400元。,2022-08-22 18:21:10
华南农业大学一学生报称被嫌疑人“冒充客服”为由诈骗人民币2.96万元。,2022-08-15 18:05:23
华南理工大学一学生报称被嫌疑人“冒充公检法”为由诈骗人民币1.2万元。,2022-08-15 18:05:23
华南理工大学一学生报称被嫌疑人“刷单兼职”为由诈骗人民币6900元。,2022-08-05 17:03:25
暨南大学一学生报称被嫌疑人“冒充客服”为由诈骗人民币3.4万元。,2022-07-25 18:04:01
暨南大学一学生报称被嫌疑人“冒充公检法”为由诈骗人民币1.4万元。,2022-07-25 18:04:01
暨南大学一学生报称被嫌疑人“冒充公检法”为由诈骗人民币2000元。,2022-07-25 18:04:01
华南理工大学一学生报称被嫌疑人以“虚假征信”为由诈骗人民币11.9万元。,2022-07-15 17:11:55
华南理工大学一学生报称被嫌疑人以“刷单兼职”为由诈骗人民币3.5万元。,2022-07-15 17:11:55
华南师范大学一学生报称被嫌疑人以“冒充公检法”为由诈骗人民币9000元。,2022-07-15 17:11:55
广州理工学院一学生报称被嫌疑人以“虚假投资理财”为由诈骗人民币5250元。,2022-07-15 17:11:55
华南师范大学一学生报称被嫌疑人以“虚假服务”为由诈骗人民币3300元。,2022-07-15 17:11:55
华南师范大学一学生报称被嫌疑人“代办证件发票”为由诈骗人民币4.2万元。,2022-07-08 17:01:30
广州现代信息工程技术学院一学生报称被嫌疑人“刷单兼职”为由诈骗人民币5500元。,2022-07-08 17:01:30
广东金融学院一学生报称被嫌疑人“冒充关系人”为由诈骗人民币5400元。,2022-07-08 17:01:30
华南理工大学一学生报称被嫌疑人“购物交易”为由诈骗人民币3000元。,2022-07-08 17:01:30
广东省信息技术职业学一学生报称被嫌疑人“购物交易”为由诈骗人民币2000元。,2022-07-08 17:01:30
华南师范大学一学生报称被嫌疑人“招聘求职”为由诈骗人民币840元。,2022-07-08 17:01:30
华南农业大学一学生报称被嫌疑人“冒充客服”为由诈骗人民币77.5万元。,2022-06-29 16:47:09
广东司法警官学院一学生报称被嫌疑人“冒充公检法”为由诈骗人民币19.4万元。,2022-06-29 16:47:09
华南师范大学一学生报称被嫌疑人“冒充关系人”为由诈骗人民币10万元。,2022-06-29 16:47:09
华南师范大学一学生报称被嫌疑人“刷单兼职”为由诈骗人民币4.1万元。,2022-06-29 16:47:09
华南理工大学一学生报称被嫌疑人“中奖”为由诈骗人民币2.6万元。,2022-06-29 16:47:09
广东岭南技术学院一学生报称被嫌疑人“刷单兼职”为由诈骗人民币1.6万元。,2022-06-29 16:47:09
华南理工大学一学生报称被嫌疑人“冒充客服”为由诈骗人民币86万元。,2022-06-24 17:14:27
华南理工大学一学生报称被嫌疑人“冒充客服”为由诈骗人民币19.9万元。,2022-06-24 17:14:27
华南理工大学一学生报称被嫌疑人“刷单兼职”为由诈骗人民币19.5万元。,2022-06-24 17:14:27
暨南大学一学生报称被嫌疑人“冒充公检法”为由诈骗人民币4万元。,2022-06-24 17:14:27
华南理工大学一学生报称被嫌疑人“代办贷款”为由诈骗人民币1万元。,2022-06-24 17:14:27
广东工业大学一学生报称被嫌疑人“购物交易”为由诈骗人民币3290.38元。,2022-06-24 17:14:27
广东工程学院一学生报称被嫌疑人“刷单兼职”为由诈骗人民币8万元。,2022-06-17 17:00:56
暨南大学一学生报称被嫌疑人“刷单兼职”为由诈骗人民币7万元。,2022-06-17 17:00:56
广东金融学院一学生报称被嫌疑人“冒充客服”为由诈骗人民币3.4万元。,2022-06-17 17:00:56
华南理工大学一学生报称被嫌疑人“冒充公检法”为由诈骗人民币2.9万元。,2022-06-17 17:00:56
广东司法学院一学生报称被嫌疑人“冒充客服”为由诈骗人民币3000元。,2022-06-17 17:00:56
广东省城市技师学院一学生报称被嫌疑人“购物交易”为由诈骗人民币550元。,2022-06-17 17:00:56
暨南大学一学生报称被嫌疑人“冒充关系人”为由诈骗人民币500元。,2022-06-17 17:00:56
广州市白云行知职业技术学校一学生报称被嫌疑人“冒充关系人”为由诈骗3万元。,2022-05-31 17:53:42
华南农业大学一学生报称被嫌疑人“引诱性网址链接”为由诈骗1.5万元。,2022-05-31 17:53:42
