高校名称,诈骗方式,诈骗金额,诈骗月份,文章发布时间
广东金融学院,冒充客服,29000,11月,2022-11-14 17:03:42
华南师范大学,其他,28000,11月,2022-11-14 17:03:42
华南师范大学,冒充公检法,27000,11月,2022-11-14 17:03:42
广州现代信息工程职业技术学院,代办贷款,6000,11月,2022-11-14 17:03:42
广州体育职业技术学院,冒充客服,152000,10月,2022-10-08 17:02:26
广州现代信息技工学院,刷单兼职,15000,10月,2022-10-08 17:02:26
暨南大学,冒充关系,15000,10月,2022-10-08 17:02:26
暨南大学,刷单兼职,14000,10月,2022-10-08 17:02:26
华南理工大学,冒充客服,14000,10月,2022-10-08 17:02:26
华南农业大学,冒充客服,9998,10月,2022-10-08 17:02:26
广东农工商职业技术学院,冒充公检法,400000,09月,2022-09-07 17:11:34
华南师范大学,冒充客服,39000,09月,2022-09-07 17:11:34
暨南大学,购物交易,16000,09月,2022-09-07 17:11:34
华南师范大学,刷单兼职,13000,09月,2022-09-07 17:11:34
华南农业大学,冒充客服,13000,09月,2022-09-07 17:11:34
广东食品药品职业技术学院,购物交易,9823,09月,2022-09-07 17:11:34
广州体育学院,冒充关系,3000,09月,2022-09-07 17:11:34
广东技术师范大学,冒充客服,210000,08月,2022-08-22 18:21:10
广东工业大学,冒充客服,19000,08月,2022-08-22 18:21:10
广东金融学院,冒充客服,5000,08月,2022-08-22 18:21:10
广东科学职业技术学院,冒充客服,1990,08月,2022-08-22 18:21:10
暨南大学,代办贷款,1199,08月,2022-08-22 18:21:10
华南理工大学,交友婚介,400,08月,2022-08-22 18:21:10
华南农业大学,冒充客服,29600,08月,2022-08-15 18:05:23
华南理工大学,冒充公检法,12000,08月,2022-08-15 18:05:23
华南理工大学,刷单兼职,6900,08月,2022-08-05 17:03:25
暨南大学,冒充客服,34000,07月,2022-07-25 18:04:01
暨南大学,冒充公检法,14000,07月,2022-07-25 18:04:01
暨南大学,冒充公检法,2000,07月,2022-07-25 18:04:01
华南理工大学,虚假征信,119000,07月,2022-07-15 17:11:55
华南理工大学,刷单兼职,35000,07月,2022-07-15 17:11:55
华南师范大学,冒充公检法,9000,07月,2022-07-15 17:11:55
广州理工学院,虚假投资理财,5250,07月,2022-07-15 17:11:55
华南师范大学,虚假服务,3300,07月,2022-07-15 17:11:55
华南师范大学,代办证件发票,42000,07月,2022-07-08 17:01:30
广州现代信息工程职业技术学院,刷单兼职,5500,07月,2022-07-08 17:01:30
广东金融学院,冒充关系,5400,07月,2022-07-08 17:01:30
华南理工大学,购物交易,3000,07月,2022-07-08 17:01:30
广东信息职业技术学院,购物交易,2000,07月,2022-07-08 17:01:30
华南师范大学,招聘求职,840,07月,2022-07-08 17:01:30
华南农业大学,冒充客服,775000,06月,2022-06-29 16:47:09
广东司法警官学院,冒充公检法,194000,06月,2022-06-29 16:47:09
华南师范大学,冒充关系,100000,06月,2022-06-29 16:47:09
华南师范大学,刷单兼职,41000,06月,2022-06-29 16:47:09
华南理工大学,中奖,26000,06月,2022-06-29 16:47:09
岭南职业技术学院,刷单兼职,16000,06月,2022-06-29 16:47:09
华南理工大学,冒充客服,860000,06月,2022-06-24 17:14:27
华南理工大学,冒充客服,199000,06月,2022-06-24 17:14:27
华南理工大学,刷单兼职,195000,06月,2022-06-24 17:14:27
暨南大学,冒充公检法,40000,06月,2022-06-24 17:14:27
华南理工大学,代办贷款,10000,06月,2022-06-24 17:14:27
广东工业大学,购物交易,3290.38,06月,2022-06-24 17:14:27
广东工程职业技术学院,刷单兼职,80000,06月,2022-06-17 17:00:56
暨南大学,刷单兼职,70000,06月,2022-06-17 17:00:56
广东金融学院,冒充客服,34000,06月,2022-06-17 17:00:56
华南理工大学,冒充公检法,29000,06月,2022-06-17 17:00:56
广东司法警官学院,冒充客服,3000,06月,2022-06-17 17:00:56
广东城市技师学院,购物交易,550,06月,2022-06-17 17:00:56
暨南大学,冒充关系,500,06月,2022-06-17 17:00:56
广州市白云行知职业技术学院,冒充关系,30000,05月,2022-05-31 17:53:42
华南农业大学,引诱性网址链接,15000,05月,2022-05-31 17:53:42
广东工程职业技术学院,购物交易,8000,05月,2022-05-31 17:53:42
广东交通职业技术学院,刷单兼职,6091.3,05月,2022-05-31 17:53:42
华南师范大学,冒充客服,6000,05月,2022-05-31 17:53:42
广东环境保护工程职业技术学院,购物交易,2627.12,05月,2022-05-31 17:53:42
华南师范大学,中奖,2500,05月,2022-05-31 17:53:42
暨南大学,冒充客服,1700,05月,2022-05-31 17:53:42
广州现代信息工程职业技术学院,招聘求职,1200,05月,2022-05-31 17:53:42
广州城市建设职业技术学院,冒充关系,3300,05月,2022-05-20 17:03:55
广东农工商职业技术学院,购物交易,3000,05月,2022-05-20 17:03:55
广东食品药品职业技术学院,购物交易,1799,05月,2022-05-20 17:03:55
广东工业大学,购物交易,1600,05月,2022-05-20 17:03:55
广东司法警官职业技术学院,冒充客服,1450,05月,2022-05-20 17:03:55
暨南大学,刷单兼职,1149.9,05月,2022-05-20 17:03:55
华南师范大学,购物交易,600,05月,2022-05-20 17:03:55
中山大学新华学院,刷单兼职,197000,05月,2022-05-15 12:31:17
华南农业大学,冒充公检法,73000,05月,2022-05-15 12:31:17
广东技术师范大学,代办贷款,21000,05月,2022-05-15 12:31:17
